Name,Letterboxd URI
To Be or Not to Be (1942),https://letterboxd.com/film/to-be-or-not-to-be
Singin' in the Rain (1952),https://letterboxd.com/film/singin-in-the-rain
The Thing (1982),https://letterboxd.com/film/the-thing
Amadeus (1984),https://letterboxd.com/film/amadeus
All About Eve (1950),https://letterboxd.com/film/all-about-eve
It's Such a Beautiful Day (2012),https://letterboxd.com/film/its-such-a-beautiful-day
"Paris, Texas (1984)",https://letterboxd.com/film/paris-texas
Satantango (1994),https://letterboxd.com/film/satantango
Nirvanna the Band the Show the Movie (2025),https://letterboxd.com/film/nirvanna-the-band-the-show-the-movie
Barry Lyndon (1975),https://letterboxd.com/film/barry-lyndon
The Pianist (2002),https://letterboxd.com/film/the-pianist
Life Is Beautiful (1997),https://letterboxd.com/film/life-is-beautiful
There Will Be Blood (2007),https://letterboxd.com/film/there-will-be-blood
Woman in the Dunes (1964),https://letterboxd.com/film/woman-in-the-dunes
High and Low (1963),https://letterboxd.com/film/high-and-low
City of God (2002),https://letterboxd.com/film/city-of-god
No Other Choice (2025),https://letterboxd.com/film/no-other-choice-2025
Harold & Kumar Go to White Castle (2004),https://letterboxd.com/film/harold-kumar-go-to-white-castle
Hot Tub Time Machine (2010),https://letterboxd.com/film/hot-tub-time-machine
Steve Jobs (2015),https://letterboxd.com/film/steve-jobs
Project Hail Mary (2026),https://letterboxd.com/film/project-hail-mary
The Shining (1980),https://letterboxd.com/film/the-shining
Donnie Darko (2001),https://letterboxd.com/film/donnie-darko
Django Unchained (2012),https://letterboxd.com/film/django-unchained
Lost in Translation (2003),https://letterboxd.com/film/lost-in-translation
Fargo (1996),https://letterboxd.com/film/fargo
Superman (2025),https://letterboxd.com/film/superman-2025
The Godfather (1972),https://letterboxd.com/film/the-godfather
